# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 51.252, 0.347 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "51.251841", "lon": "0.34704", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0", "tracking": "0", "tilt": "0", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2023-01-01 00:00,2023-01-01 00:00,0,0,0,10.986
2023-01-01 01:00,2023-01-01 01:00,0,0,0,10.717
2023-01-01 02:00,2023-01-01 02:00,0,0,0,10.543
2023-01-01 03:00,2023-01-01 03:00,0,0,0,10.458
2023-01-01 04:00,2023-01-01 04:00,0,0,0,10.425
2023-01-01 05:00,2023-01-01 05:00,0,0,0,10.422
2023-01-01 06:00,2023-01-01 06:00,0,0,0,10.390
2023-01-01 07:00,2023-01-01 07:00,0,0,0,10.373
2023-01-01 08:00,2023-01-01 08:00,0.002,0,0.008,10.472
2023-01-01 09:00,2023-01-01 09:00,0.024,0.001,0.036,10.646
2023-01-01 10:00,2023-01-01 10:00,0.046,0.002,0.057,10.803
2023-01-01 11:00,2023-01-01 11:00,0.046,0.001,0.058,10.832
2023-01-01 12:00,2023-01-01 12:00,0.041,0.001,0.053,10.782
2023-01-01 13:00,2023-01-01 13:00,0.031,0.001,0.043,10.673
2023-01-01 14:00,2023-01-01 14:00,0.015,0,0.026,10.493
2023-01-01 15:00,2023-01-01 15:00,0,0,0.006,10.198
2023-01-01 16:00,2023-01-01 16:00,0,0,0,9.705
2023-01-01 17:00,2023-01-01 17:00,0,0,0,9.173
2023-01-01 18:00,2023-01-01 18:00,0,0,0,8.689
2023-01-01 19:00,2023-01-01 19:00,0,0,0,8.065
2023-01-01 20:00,2023-01-01 20:00,0,0,0,7.602
2023-01-01 21:00,2023-01-01 21:00,0,0,0,7.382
2023-01-01 22:00,2023-01-01 22:00,0,0,0,7.320
2023-01-01 23:00,2023-01-01 23:00,0,0,0,7.399
2023-01-02 00:00,2023-01-02 00:00,0,0,0,7.560
2023-01-02 01:00,2023-01-02 01:00,0,0,0,7.625
2023-01-02 02:00,2023-01-02 02:00,0,0,0,7.611
2023-01-02 03:00,2023-01-02 03:00,0,0,0,7.643
2023-01-02 04:00,2023-01-02 04:00,0,0,0,7.604
2023-01-02 05:00,2023-01-02 05:00,0,0,0,7.556
2023-01-02 06:00,2023-01-02 06:00,0,0,0,7.448
2023-01-02 07:00,2023-01-02 07:00,0,0,0,7.353
2023-01-02 08:00,2023-01-02 08:00,0.003,0,0.011,7.339
2023-01-02 09:00,2023-01-02 09:00,0.036,0.003,0.046,7.564
2023-01-02 10:00,2023-01-02 10:00,0.084,0.009,0.087,7.833
2023-01-02 11:00,2023-01-02 11:00,0.122,0.020,0.112,8.040
2023-01-02 12:00,2023-01-02 12:00,0.185,0.073,0.120,8.252
2023-01-02 13:00,2023-01-02 13:00,0.177,0.094,0.091,8.231
2023-01-02 14:00,2023-01-02 14:00,0.100,0.044,0.067,7.648
2023-01-02 15:00,2023-01-02 15:00,0.013,0.004,0.019,5.670
2023-01-02 16:00,2023-01-02 16:00,0,0,0,4.333
2023-01-02 17:00,2023-01-02 17:00,0,0,0,3.886
2023-01-02 18:00,2023-01-02 18:00,0,0,0,3.611
2023-01-02 19:00,2023-01-02 19:00,0,0,0,3.606
2023-01-02 20:00,2023-01-02 20:00,0,0,0,3.729
2023-01-02 21:00,2023-01-02 21:00,0,0,0,3.493
2023-01-02 22:00,2023-01-02 22:00,0,0,0,3.188
2023-01-02 23:00,2023-01-02 23:00,0,0,0,2.819
2023-01-03 00:00,2023-01-03 00:00,0,0,0,2.793
2023-01-03 01:00,2023-01-03 01:00,0,0,0,3.272
2023-01-03 02:00,2023-01-03 02:00,0,0,0,4.104
2023-01-03 03:00,2023-01-03 03:00,0,0,0,4.932
2023-01-03 04:00,2023-01-03 04:00,0,0,0,5.584
2023-01-03 05:00,2023-01-03 05:00,0,0,0,6.026
2023-01-03 06:00,2023-01-03 06:00,0,0,0,6.634
2023-01-03 07:00,2023-01-03 07:00,0,0,0,7.431
2023-01-03 08:00,2023-01-03 08:00,0.004,0,0.011,8.201
2023-01-03 09:00,2023-01-03 09:00,0.024,0.001,0.035,8.807
2023-01-03 10:00,2023-01-03 10:00,0.055,0.002,0.066,9.275
2023-01-03 11:00,2023-01-03 11:00,0.072,0.003,0.082,9.629
2023-01-03 12:00,2023-01-03 12:00,0.036,0.001,0.048,9.697
2023-01-03 13:00,2023-01-03 13:00,0.020,0,0.031,9.779
2023-01-03 14:00,2023-01-03 14:00,0.008,0,0.017,9.926
